Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
TH-67 and OH-58 Program Mischarging,"Textron, Inc.",Date of Settlement - approx.,7/1/2006,Cost/Labor Mischarge,Settlement,Administrative,Defense - Army,Defense - Army,16570018
Uncertified Welders (False Claims Act),Boeing Company,Date of Settlement,4/4/2003,Government Contract Fraud,Settlement,Civil,Defense - Army,Defense - Army,492164
Nuclear Safety Quality Assurance Requirements Deficiencies (2007),"National Security Technologies, LLC",Date of Enforcement Letter,5/21/2007,Poor Contract Performance,Investigative Finding,Administrative,Energy,Energy,0
"U.S. ex rel. Shea, et al. v. Verizon Communications (False Claims on GSA Telecom Services Contracts)","Verizon Communications, Inc.",Date of Settlement Announcement,4/5/2011,Government Contract Fraud,Settlement,Civil,GSA,GSA,96525411
Prieto v. Bell Aerospace (Wrongful Termination),"Textron, Inc.",Date of Filing - approx.,10/22/2009,Labor,Pending,Civil,Non-Governmental,None,0
Unsafe Working Environment (Gulf of Mexico),BP P.L.C.,Date of Penalty,10/25/2006,Labor,Fine,Administrative,Interior,None,25000
Crossroads Systems v. Dell (Patent Infringement),"Dell, Inc.",Date of Complaint,11/26/2013,Intellectual Property,Pending,Civil,Non-Governmental,None,0
Oregon Drug Prices Lawsuit,McKesson,Date of Complaint,11/7/2011,Antitrust,Settlement,Civil,State/Local,None,4300000
"U.S. v. Martin (Removal of Classified Materials, Theft of Government Property)",Booz Allen Hamilton,Date of Complaint,8/29/2016,Poor Contract Performance,Pending,Criminal,Justice,NSA,0
Air Quality Violations at Benicia Refinery in 2013,Valero Energy Corp.,Date of Settlement Announcement,10/24/2016,Environment,Settlement,Administrative,State/Local,None,249000
"Combs v. General Electric, et al. (Product Liability)",General Electric,Date of Complaint,10/14/2014,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Violation of Federal Aviation Administration Hazardous Materials Regulations,"Textron, Inc.",Date of Report,1/1/1998,Environment,Fine,Administrative,Transportation,None,35000
Misclassifying Workers - Kentucky Lawsuit,FedEx Corporation,Date of Filing,9/2/2010,Labor,Pending,Civil,State/Local,None,0
Violations of Nuclear Safety Requirements,Fluor Corporation,Date of Preliminary Notice of Violation,7/14/2004,Labor,Fine,Administrative,Energy,Energy,935000
Mendenhall v. DynCorp (USERRA lawsuit),DynCorp International Inc.,Date of Filing,1/7/2010,Labor,Pending,Civil,Non-Governmental,None,0
Incorrect Nuclear Facility Hazard Categorization at Argonne National Lab,University of Chicago,Date of Consent Order,4/8/2014,Labor,Restitution,N/A,Energy,Energy,298920
2011 Worker Safety and Health Violations at Savannah River Site,Savannah River Nuclear Solutions,Date of PNOV,11/9/2012,Labor,Fine,Administrative,Energy,Energy,159375
Continence Product Marketing False Claims,"Cardinal Health, Inc.",Date of 10-Q,2/3/2015,Health,Pending,Civil,Non-Governmental,None,0
Chambersburg Facility Safety Violations,AECOM Technology Corporation,Date of OSHA Citation,9/5/2013,Labor,Fine,Administrative,Labor - OSHA,None,20000
F-16 Overcharge,General Dynamics,Date of Settlement,2/7/1995,Cost/Labor Mischarge,Settlement,Civil,Justice,Defense - Air Force,1800000
Material Handling Incidents at Hanford,Bechtel Corporation,Date of PNOV,5/31/2012,Labor,Fine,Administrative,Energy,Energy,150000
"Whiting, Ind. Refinery Clean Air Act Violations",BP P.L.C.,Date of Settlement Announcement,5/9/2005,Environment,Settlement,Civil,EPA,None,58687
Davis v. Lockheed Martin (Defective F-35 Joint Strike Fighter Software),Lockheed Martin,Date of Filing,5/26/2009,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - General,0
Boardroom Leak Investigation (Stockholder Derivative Lawsuits),Hewlett-Packard Company,Date of Settlement,12/14/2007,Securities,Settlement,Civil,Non-Governmental,None,6300000
"U.S. et al. ex rel. Robinson v. Indiana University Health et al. (False Claims, Kickbacks)","Health Net, Inc.",Date of Settlement Announcement,4/27/2017,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Health and Human Services,9000000
"United States v. Sverdrup Technology, Inc. (Mischarging NASA for Labor and Materials)","Jacobs Engineering Group, Inc.",Date of Settlement Announcement,8/15/2001,Government Contract Fraud,Settlement,Civil,NASA,NASA,2500000
Hughes v. FedEx (FedEx Truck Accident),FedEx Corporation,Date of Verdict,8/20/2008,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,2014264
"Bisht, et al. v. Boeing (Investor Class-Action Lawsuit)",Boeing Company,Date of Complaint,2/22/2016,Securities,Pending,Civil,Non-Governmental,None,0
Nationwide Vioxx Joint Civil-Criminal Settlement (Criminal),"Merck & Co., Inc.",Date of Settlement Announcement,11/22/2011,Health,Settlement,Criminal,Multiple Agencies,None,321636000
Santa Monica Water Contamination Settlement,Boeing Company,Date of Settlement,5/8/2012,Environment,Settlement,N/A,State/Local,None,39500000
Underpaying California Hospitals for Emergency Services,"Health Net, Inc.",Date of Complaint,5/23/2011,Consumer Affairs,Pending,Civil,State/Local,None,0
Schlitters v. CCA (Death at Kit Carson Correctional Center),Corrections Corporation of America,Date of Filing,3/24/2003,Consumer Affairs,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
April 2004 Iraq Convoy Driver Lawsuits,KBR,Date of Complaint,3/29/2005,Labor,Settlement,Civil,Non-Governmental,Defense - Army,Undisclosed/Unknown
Violation of Migratory Bird Protection Law,Exxon Mobil,Date of Announcement,8/13/2009,Environment,Pleaded Guilty,Criminal,Justice,None,600250
Violation of Clean Air Act Fuel Standards,BP P.L.C.,Date of Settlement,9/27/2006,Environment,Settlement,Civil,EPA,None,900000
Onoda et al. v. Sikorsky (UH-60L Black Hawk Crash),Lockheed Martin,Date of Complaint,11/30/2018,Consumer Affairs,Pending,Civil,Non-Governmental,Defense - Army,0
Racial Harassment and Retaliation,Washington Group International,Date of Settlement,3/17/2008,Labor,Settlement,Civil,EEOC,None,1500000
"Allen, et al. v. Boeing, et al. (Auburn, WA Groundwater Pollution)",Boeing Company,Date of Original Complaint,11/22/2013,Environment,Pending,Civil,Non-Governmental,None,0
Selling Unauthorized Medicare Prescription Coverage,Humana,Date of Order,1/11/2008,Consumer Affairs,Fine,Administrative,State/Local,None,500000
Americans With Disabilities Act Violations,University of Chicago,Date of Settlement,7/17/2006,Human Rights,Settlement,Administrative,Justice,None,0
Aguinda v. ChevronTexaco (Amazon Rainforest Pollution),ChevronTexaco Corporation,Date of Filing,5/7/2003,Environment,Judgment Against Defendant,Civil,Non-Governmental,None,0
Unsafe Delivery Trucks (New York Investigation),"United Parcel Service, Inc.",Date of Settlement Announcement,3/1/2011,Health,Settlement,Civil,State/Local,None,1300000
Clean Air Act Violations at XTO Energy's Fort Berthold Indian Reservation Facility,Exxon Mobil,Date of Consent Decree,3/23/2018,Environment,Settlement,Civil,EPA,None,320000
"Price v. KBR (Racial Discrimination, Retaliation)",KBR,Date of Complaint,9/23/2011,Labor,Pending,Civil,Non-Governmental,Defense - Army,0
Woodruff v. Goulds Pumps/ITT Industries (Worker's Compensation),ITT Industries,Date of Administrative Agreement,5/19/2005,Labor,Administrative Agreement,Civil,State/Local,Non-Governmental,Undisclosed/Unknown
Violation of the Trade Agreements Act,World Wide Technology,Date of Settlement - approx.,2/1/2013,Import/Export,Settlement,Civil,Multiple Agencies,Multiple Agencies,735000
U.S. ex rel. DiMattia et al. v. Medco Health Solutions (AstraZeneca Kickback Scheme),Express Scripts Holding Company,Date of Settlement Announcement,5/20/2015,Ethics,Settlement,Civil,Justice,None,7900000
Hawaii Average Wholesale Price Litigation,Novartis AG,Date of Settlement Announcement,10/6/2010,Antitrust,Settlement,Civil,State/Local,None,10000000
"Abbott, et al. v. Lockheed Martin (Mismanagement of Retirement Plans)",Lockheed Martin,Date of Original Complaint,9/11/2006,Labor,Settlement,Civil,Non-Governmental,None,62000000
Restatement of 2012 Financial Results,Great Lakes Dredge & Dock Corporation,Date of Settlement,10/27/2014,Securities,Fine,Administrative,SEC,None,150000
Use and Possession of Military Passes with the Intent to Defraud,DynCorp International Inc.,Date Case Terminated,5/11/2006,Ethics,Suspend/Debar - Employee,Administrative,Defense - Army,Defense - Army,25
Storing Sensitive Data on a Publicly Accessible Server,Booz Allen Hamilton,Date of Letter,6/15/2017,Poor Contract Performance,Investigative Finding,N/A,Congress,Defense - General,0
SEC Investigation of 2007 Financial Restatement,Navistar Defense LLC,Date of Settlement Announcement,10/19/2009,Securities,Settlement,Civil,SEC,None,362500
Poli v. Jacobs Engineering Group (SOX Whistleblower Retaliation),"Jacobs Engineering Group, Inc.",Date of Complaint,3/24/2010,Labor,Pending,Administrative,Non-Governmental,None,0
SEC v. Kevin B. Collins (Securities Violations),IBM Corporation,Date of Settlement,6/26/2007,Securities,Settlement,Civil,SEC,None,95000
Hunters Point Naval Shipyard Cleanup - NRC Petition,"Tetra Tech, Inc.",Date of Petition,6/28/2017,Government Contract Fraud,Pending,Administrative,Non-Governmental,Defense - Navy,0
U.S. v. Mix (Obstruction of Justice in April 2010 Gulf of Mexico Oil Spill),BP P.L.C.,Date of Arrest,4/24/2012,Ethics,Pending,Criminal,Justice,None,25
Patent Infringement,Harris Corporation,Date of Settlement Agreement,8/4/2005,Intellectual Property,Settlement,Civil,Non-Governmental,None,0
Overbilling on Helicopter Maintenance Contract in Iraq,L-3 Communications,Date of Settlement Announcement,12/8/2008,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Defense - Army,4000000
International Bribery - Deferred Prosecution Agreement,Total S.A.,Date of Deferred Prosecution Agreement,5/29/2013,Ethics,Deferred Prosecution Agreement,Criminal,Justice,None,245200000
McKee v. AT&T (Washington Class Action),AT&T Inc.,Date of Appellate Opinion,8/28/2008,Consumer Affairs,Settlement,Civil,Non-Governmental,None,450000
Rix v. Lockheed Martin (Failure to Pay Overtime Wages),Lockheed Martin,Date of Complaint,9/21/2009,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Conflict of Interest Violations,SAIC,Date of Settlement,8/30/2000,Ethics,Settlement,Civil,Justice,None,30000
Foreign Bribery Investigation - SEC Settlement,Hewlett-Packard Company,Date of Settlement Announcement,4/9/2014,Ethics,Settlement,Administrative,SEC,International,31472250
U.S. v. Hill (Mentor-Protégé Program Fraud),"Caddell Construction Co., Inc.",Date of Indictment,1/19/2012,Government Contract Fraud,Found Guilty,Criminal,Justice,Defense - General,100
McCoy/Wachtel/Scharfman ERISA Lawsuits,"Health Net, Inc.",Date of Settlement Announcement,11/1/2007,Health,Settlement,Civil,Non-Governmental,None,255000000
SBA Suspension,GTSI Corporation,Date of Suspension,10/1/2010,Government Contract Fraud,Suspend/Debar - Company,N/A,SBA,Homeland Security,0
Bautista v. Valero Energy Corporation (Unfair Business Practices),Valero Energy Corp.,Date of Complaint,12/4/2015,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Conrad v. Eon Labs (False Claims),Novartis AG,Date of Announcement,2/22/2010,Government Contract Fraud,Settlement,Civil,Health and Human Services,Health and Human Services,3500000
"Air Quality Violations (Richmond, CA)",ChevronTexaco Corporation,Date of Settlement,6/29/2001,Environment,Settlement,Administrative,State/Local,None,300000
Subcontractor Kickbacks,"United Launch Alliance, LLC",Date of Settlement Announcement,12/21/2016,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - Air Force,100000
NLRB Ruling on Confidentiality Directives,Boeing Company,Date of Decision,7/26/2013,Labor,Judgment Against Defendant,Administrative,NLRB,None,0
False Claims on Contracts to House U.S. Troops in Iraq,KBR,Date of Complaint,11/20/2012,Government Contract Fraud,Pending,Civil,Defense - General,Defense - Army,0
Contractor Kickbacks,Raytheon Company,Date of Settlement,6/30/1996,Ethics,Settlement,Undisclosed/unknown,Defense - General,Defense - General,115310
Bypassed Pipeline Pressure Safety Lows,ChevronTexaco Corporation,Date of Penalty,1/24/2003,Environment,Fine,Administrative,Interior,None,210000
Rivera v. Express Scripts et al. (Unpaid Wages),Express Scripts Holding Company,Date of Complaint,4/9/2013,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Department of Energy Violations,UT-Battelle LLC,Date of Preliminary Notice of Violation,11/18/2003,Environment,Fine,Administrative,Energy,Energy,151250
Bullock v. Fluor (Whistleblower Retaliation),Fluor Corporation,Date of Complaint,12/16/2015,Labor,Pending,Civil,Non-Governmental,None,0
Vitamin Cartel - EU Fine,Sanofi-Aventis,Date of Fine,11/21/2001,Antitrust,Fine,Criminal,International,None,4000000
Export Administration Regulations Violations,FedEx Corporation,Date of Order,10/4/2005,Import/Export,Fine,Administrative,Commerce,None,40000
City of Livonia Employees' Retirement System v. Wyeth (Shareholder Lawsuit),Wyeth,Date of Complaint,4/11/2008,Securities,Settlement,Civil,Non-Governmental,None,67500000
"Abdi v. Brookhaven Science Associates, LLC et al. (Racial, Religious Discrimination)","Brookhaven Science Associates, LLC",Date of Complaint,6/8/2005,Labor,Settlement,Civil,Non-Governmental,Energy,Undisclosed/Unknown
Kiker v. GlaxoSmithKline (Paxil Birth Defects),GlaxoSmithKline,Date of Complaint,3/11/2014,Health,Pending,Civil,Non-Governmental,None,0
Violations of PCB Regulations,General Electric,Date of Settlement - approximate,1/1/1995,Environment,Settlement,Administrative,EPA,None,53000
SEC v. Ping (Chinese Subsidiary Bribery),Harris Corporation,Date of Order,9/13/2016,Securities,Fine,Administrative,SEC,None,46000
Idaho Correctional Center - ACLU Lawsuit,Corrections Corporation of America,Date of Complaint,3/11/2010,Human Rights,Settlement,Civil,Non-Governmental,State/Local,0
Electronic Equipment Testing False Claims Act Violations,Raytheon Company,Date of Settlement,9/10/1996,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - General,4050000
August 2014 Radiation Exposure at Oak Ridge National Lab,UT-Battelle LLC,Date of Consent Order,5/14/2015,Labor,Fine,Administrative,Energy,Energy,112500
U.S. ex rel. Dandy v. General Electric (Nuclear Reactor Design False Claims),General Electric,Date of Settlement Announcement,1/23/2014,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Energy,2700000
"U.S. ex rel. Brunson, et al. v. Bechtel National, et al. (False Claims at Hanford Waste Treatment Plant)","AECOM Technology Corporation, Bechtel Corporation",Date of Settlement Announcement,11/23/2016,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Energy,57500000
Hunters Point Naval Shipyard Cleanup - False Claims Litigation,"Tetra Tech, Inc.",Date of Intervention Announcement,10/26/2018,Government Contract Fraud,Pending,Civil,Justice,Defense - Navy,0
2005 Texas City Refinery Explosion - Civil Litigation,BP P.L.C.,Date of Announcement,9/18/2007,Labor,Settlement,Civil,Non-Governmental,None,38000000
Improper Payment of Provider Claims,"Health Net, Inc.",Date of Fines Announcement,11/29/2010,Consumer Affairs,Fine,Administrative,State/Local,None,750000
Lehman et al. v. Health Net of California (Unfair and Deceptive Business Practices),"Health Net, Inc.",Date of Complaint,12/19/2014,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Defense Support Services Discrimination Charges,PAE Holding Corporation,Date of Settlement Announcement,2/13/2015,Labor,Settlement,Administrative,EEOC,None,Undisclosed/Unknown
SEC v. Wiener (Insider Trading),BAE Systems,Date of Settlement Announcement,3/23/2011,Securities,Settlement,Civil,SEC,None,101010
"Controlled Substances Act Violations in Florida, Maryland, New York and Washington State","Cardinal Health, Inc.",Date of Settlement Announcement,12/23/2016,Health,Settlement,Civil,Justice,None,44000000
"USA v. Ridgeway (Sept. 16, 2007 Baghdad Shooting)",Blackwater USA,Date of Plea,12/5/2008,Human Rights,Pleaded Guilty,Criminal,Justice,State Dept.,0
Overcharging on Food Contracts (Civil Case),Agility,Date of Complaint,11/18/2005,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Defense - Army,95000000
